,Stock_Name,Current_Price (₹),Market Cap,Return_On_Equity (ROE) %,Price_to_Earnings_ratio (P/E),Industry P/E,Earnings_per_share (EPS),Price_to_Book_ratio (P/B),Dividend Yield %,Debt_to_Equity,Revenue_Growth %,Profit_Growth %,Net_Profit_Margin %,EBITDA Margin %
115,Motherson Sumi Wiring India,46.38,"₹30,121Cr",35.67%,50.47,46.61,0.90,17.74,0.51%,0.16,13.926940639269406,-3.8758648485255662,5.77%,7.852905811623247
116,NBCC (India),112.62,"₹30,092Cr",24.69%,52.82,43.22,2.11,12.14,0.60%,0.00,2.8211284513805523,31.68648274269884,6.89%,8.93928779918272
117,Elitecon International,157.85,"₹26,559Cr",43.46%,377.61,27.59,0.44,165.76,0.00%,0.02,302.1388216303471,349.5594713656388,10.24%,10.24586051179127
118,Gujarat Gas,430.60,"₹29,742Cr",13.53%,25.96,16.80,16.64,3.50,1.35%,0.02,-11.347517730496454,-0.9127296985869341,8.04%,10.855757575757575
119,Aegis Logistics,820.35,"₹29,203Cr",14.33%,44.04,54.78,18.89,6.31,0.96%,0.99,-1.4950841903039913,-58.176651955746316,8.27%,11.229020156710682
120,ICICI Securities,895.70,"₹29,132Cr",35.81%,16.13,19.98,55.52,5.33,1.99%,3.89,-14.172749391727493,-25.928954474574983,27.64%,65.88589652728561
121,Indraprastha Gas,220.12,"₹29,127Cr",16.18%,17.48,16.80,11.90,2.74,3.36%,0.01,11.427850655903129,-11.336405529953915,8.23%,10.822730359972834
122,KIMS,706.45,"₹28,930Cr",17.99%,76.83,65.48,9.41,13.53,0.00%,1.20,15.900210399759555,-3.130148270181228,15.75%,23.910788381742737
123,Tata Technologies,712.95,"₹28,820Cr",18.91%,42.06,24.66,16.89,9.17,1.65%,0.07,-15.776888888888891,-41.74083414969673,37.73%,34.55794661797765
124,Sumitomo Chemical India,534.35,"₹27,029Cr",17.42%,48.52,34.13,11.16,9.32,0.22%,0.02,26.75793548988969,40.049848119012395,17.16%,22.381784728610853
125,Star Health Insurance,476.40,"₹26,881Cr",9.08%,45.58,18.96,10.03,3.81,0.00%,0.07,10.924810060256746,-17.68726679835701,6.67%,0.0
126,Shyam Metalics and Energy,927.35,"₹26,802Cr",8.60%,29.00,34.57,33.11,2.54,0.47%,0.07,11.228945726762321,2.9350362274345896,9.57%,13.202467750981493
127,Bandhan Bank,164.47,"₹26,557Cr",8.43%,12.93,14.52,12.75,1.09,0.91%,NA,2.276100940128649,-65.00846660395108,6.79%,8.409772617319787
128,OLA Electric Mobility,52.61,"₹23,201Cr",-44.25%,-9.85,28.17,-5.34,4.51,0.00%,0.69,3.571428571428571,83.33333333333334,"-1,100%",41.37931034482759
129,Piramal Pharma,195.56,"₹25,980Cr",1.12%,264.12,34.33,0.74,3.20,0.07%,0.60,4.636363636363637,32.684414213674216,11.67%,14.405734144222414
130,MRPL,149.28,"₹25,842Cr",0.43%,-89.91,19.64,-1.64,1.99,0.00%,1.01,-23.077485914977682,-514.7780997407351,-1.30%,-0.693046704080662
131,Sona BLW Precision Forgings,414.05,"₹25,767Cr",10.94%,44.14,39.18,9.39,4.69,0.77%,0.04,-5.349404907903799,-22.476768198244717,16.55%,20.479534040006417
132,Syngene International,632.70,"₹25,554Cr",10.50%,50.37,65.48,12.59,5.41,0.20%,0.12,9.634506852996497,0.13531799729363234,9.26%,11.043019977938473
133,IRB Infrastructure Developers,41.49,"₹25,297Cr",5.04%,3.87,24.73,10.83,1.28,0.72%,1.04,-6.164383561643835,-1.4593908629441577,10.80%,25.08029197080292
134,Manappuram Finance,290.95,"₹24,619Cr",9.78%,30.78,20.31,9.45,1.98,1.38%,2.90,7.583230579531443,-11.001407235916286,22.50%,67.10601719197707
135,Emami,551.85,"₹24,355Cr",29.93%,29.77,51.73,18.74,9.04,1.79%,0.03,-3.0686550786802678,-7.324695988180467,21.56%,23.416133887338077
136,Anant Raj,735.60,"₹24,202Cr",10.23%,52.58,40.56,13.41,5.82,0.10%,0.12,30.514615357557425,64.85335856196784,19.78%,22.64984907287624
137,INOX Wind,139.38,"₹24,092Cr",8.88%,47.90,60.15,2.91,3.92,0.00%,0.30,14.910369180359142,23.5361162558769,12.12%,19.54514624254253
138,EIH,390.10,"₹23,876Cr",16.03%,35.06,57.58,10.89,5.18,0.39%,0.06,14.724197501104818,-57.398945518453424,25.81%,9.25024513237148
139,HBL Engineering,871.15,"₹23,836Cr",18.68%,70.08,39.18,12.27,16.08,0.12%,0.05,17.52423708806627,88.18855218855217,24.17%,31.972733110500055
140,Aditya Birla Sun Life AMC,820.75,"₹23,661Cr",24.97%,24.34,20.31,33.67,6.35,2.93%,0.02,17.819613789037,18.506312861117046,62.65%,66.73220254160039
141,Tata Chemicals,922.00,"₹23,634Cr",1.33%,70.12,43.93,13.23,1.09,1.19%,0.33,12.074554294975687,13.284132841328415,26.26%,27.621113521330443
142,Ather Energy,630.05,"₹23,601Cr",-164.77%,-29.23,33.62,-21.23,7.56,0.00%,1.26,82.65472312703584,-2.5697102241662204,-27.65%,-22.900876801902214
143,PNB Housing Finance,890.00,"₹23,305Cr",11.48%,11.44,20.31,78.19,1.38,0.56%,3.70,13.666300768386389,21.203072644799537,25.76%,92.70883631096089
144,Firstsource Solutions,326.35,"₹23,215Cr",14.51%,36.93,24.66,8.89,5.65,1.20%,0.63,32.66066616981026,42.56193990511334,19.52%,26.025641025641022
145,Ramco Cements Limited,"1,005.70","₹23,120Cr",1.41%,72.16,44.37,13.56,3.11,0.20%,0.63,-0.9537434430138292,142.2816901408451,4.15%,10.65045739046702
